question,answer,context
Why is the walls of ventricles thicker than the walls of atria ?,"Ventricles have to pump blood into various organs. So, they have thicker walls than the walls of atria. 1","Blood pressure The force that blood exerts against the wall of a vessel is called blood pressure. This pressure is much greater in arteries than in veins. The pressure of blood inside the artery during ventricular systole (contraction) is called systolic pressure and pressure in artery during ventricular diastole (relaxation) is called diastolic pressure. The normal systolic pressure is about 120 mm of Hg and diastolic pressure is 80 mm of Hg.
 Blood pressure is measured with an instrument called sphygmomanometer. High blood pressure is also called hypertension and is caused by the constriction of arterioles, which results in increased resistance to blood flow. It can lead to the rupture of an artery and internal bleeding.
 The tubes – blood vessels Arteries are the vessels which carry blood away from the heart to various organs of the body. Since the blood emerges from the heart under high pressure, the arteries have thick, elastic walls. Veins collect the blood from different organs and bring it back to the heart. They do not need thick walls because the blood is no longer under pressure, instead they have valves that ensure that the blood flows only in one direction. On reaching an organ or tissue, the artery divides into smaller and smaller vessels to bring the blood in contact with all the individual cells. The smallest vessels have walls which are one-cell thick and are called capillaries. Exchange of material between the blood and surrounding cells takes place across this thin wall. The capillaries then join together to form veins that convey the blood away from the organ or tissue. Maintenance by platelets What happens if this system of tubes develops a leak? Think about situations when we are injured and start bleeding. Naturally the loss of blood from the system has to be minimised. In addition, leakage would lead to a loss of pressure which would reduce the efficiency of the
 The tubes – blood vessels Arteries are the vessels which carry blood away from the heart to various organs of the body. Since the blood emerges from the heart under high pressure, the arteries have thick, elastic walls. Veins collect the blood from different organs and bring it back to the heart. They do not need thick walls because the blood is no longer under pressure, instead they have valves that ensure that the blood flows only in one direction. On reaching an organ or tissue, the artery divides into smaller and smaller vessels to bring the blood in contact with all the individual cells. The smallest vessels have walls which are one-cell thick and are called capillaries. Exchange of material between the blood and surrounding cells takes place across this thin wall. The capillaries then join together to form veins that convey the blood away from the organ or tissue. Maintenance by platelets What happens if this system of tubes develops a leak? Think about situations when we are injured and start bleeding. Naturally the loss of blood from the system has to be minimised. In addition, leakage would lead to a loss of pressure which would reduce the efficiency of the
 "
"Name the tissues which (i) transport soluble products of photosynthesis in plants, (ii) transport water and minerals in a plant. ",(i) Phloem (ii) Xylem.,"(ii)
 (ii)
 ?
 (iii)
 "
What process in plants is known as transpiration ? ,It is the loss of water in the vapour form from the exposed parts of a plant.,"Provided that the plant has an adequate supply of water, the water which is lost through the stomata is replaced by water from the xylem vessels in the leaf. In fact, evaporation of water molecules from the cells of a leaf creates a suction which pulls water from the xylem cells of roots. The loss of water in the form of vapour from the aerial parts of the plant is known as transpiration. Thus, transpiration helps in the absorption and upward movement of water and minerals dissolved in it from roots to the leaves. It also helps in temperature regulation. The effect of root pressure in transport of water is more important at night. During the day when the stomata are open, the transpiration pull becomes the major driving force in the movement Figure 6.12 of water in the xylem. Movement of water during transpiration in a tree Transport of food and other substances So far we have discussed the transport of water and minerals in plants. Now let us consider how the products of metabolic processes, particularly photosynthesis, are moved from leaves, where they are formed, to other parts of the plant. This transport of soluble products of photosynthesis is called translocation and it occurs in the part of the vascular tissue known as phloem. Besides the products of photosynthesis, the phloem transports amino acids and other substances. These substances are especially delivered to the storage organs of roots, fruits and seeds and to growing organs. The translocation of food and other substances takes place in the sieve tubes with the help of adjacent companion cells both in upward and downward directions. Unlike transport in xylem which can be largely explained by simple physical forces, the translocation in phloem is achieved by utilising
 "
What is transported by lymph ?,Lymph carries digested and absorbed fat from intestine.,"pumping system. To avoid this, the blood has platelet cells which circulate around the body and plug these leaks by helping to clot the blood at these points of injury. Lymph There is another type of fluid also involved in transportation. This is called lymph or tissue fluid. Through the pores present in the walls of capillaries some amount of plasma, proteins and blood cells escape into intercellular spaces in the tissues to form the tissue fluid or lymph. It is similar to the plasma of blood but colourless and contains less protein. Lymph drains into lymphatic capillaries from the intercellular spaces, which join to form large lymph vessels that finally open into larger veins. Lymph carries digested and absorbed fat from intestine and drains excess fluid from extra cellular space back into the blood.
 "
"Name the component of blood which transport : (i) Food, carbon dioxide and nitrogenous wastes (ii) Oxygen. ",(i) Plasma (ii) Haemoglobin present in RBCs.,"6CO2 (aq) + 12H2O(l)  Chlorophyll → C6 H12O 6 (aq) + 6O2 (aq) + 6H2 O(l) (1.12) (Glucose)
 "
Name the process of loss of water in the form of vapour from the aerial parts of the plants. ,Transpiration,"Do you know that respiration is an exothermic process?
 "
How many covalent bonds are present in pentane (C5H12)? ,Sixteen (16) Covalent bonds.,"16
 "
Name the simplest ketone.,"The simplest ketone is acetone. e.g., CH3COCH3. 1","4. Ketone
 "
What is the common name of CH3COOH ? ,Acetic acid or vinegar.  1,"Acid
 Natural source
 Acid
 Acid
 Vinegar
 Vinegar
 Acetic acid
 Acetic acid
 "
Name the gas evolved when ethanoic acid is added to sodium carbonate? ,2CH3 COOH + Na2 CO3 → 2CH3 COONa + H2O + CO2 ↑,"2Na + 2CH3CH2OH → 2CH3CH2O–Na+ + H2
 HNO3 + Ca(OH)2 → Ca(NO3)2 + H2O
 (b)
 NaOH + H2SO4 → Na2SO4 + H2O
 "
Write balanced Chemical equation of dehydration of ethanol by hot conc. H2SO4.  Hot Conc,CH3CH2OH H → CH2 = CH2 + H2O. SO 443k,"2Na + 2CH3CH2OH → 2CH3CH2O–Na+ + H2
 "
"Why is ethanol used in making of tincture, iodine, cough syrup, tonic etc. ? What is the role of conc. H2SO4 in making ethane from ethanol ? ","(a) Ethanol is a solvent used to make tincture of Iodine because the cell membrane of microorganisms is made up of lipids and ethanol is a the solvent, which can dissolve the lipid of easily and kill the micro-organisms that may be pathogenic. (b) Concentrated sulphuric acid acts as dehydrating agent i.e., removes water molecule from ethanol and also catalyse the reaction and convert ethanol to ethane. (i)","The concentrated sulphuric acid can be regarded as a dehydrating agent which removes water from ethanol.
 "
An organic compound burns with a sooty flame. Is it saturated or unsaturated compound ? Justify. ,It is unsaturated compound because they have more carbon. It burns with sooty or smoky flame.  1,"Saturated hydrocarbons will generally give a clean flame while unsaturated carbon compounds will give a yellow flame with lots of black smoke. This results in a sooty deposit on the metal plate in Activity 4.3. However, limiting the supply of air results in incomplete combustion of even saturated hydrocarbons giving a sooty flame. The gas/kerosene stove used at home has inlets for air so that a sufficiently oxygen-rich
 "
Draw the electron dot structure of nitrogen molecule. ,()  1,"(1.1)
 "
"In an organic compound, which part largely determine its physical and chemical properties ?",The alkyl part (carbon chain) of an organic compound determines its physical properties whereas the functional group determines its chemical properties.,"4.2.4 Homologous Series You have seen that carbon atoms can be linked together to form chains of varying lengths. These chains can be branched also. In addition, hydrogen atom or other atoms on these carbon chains can be replaced by any of the functional groups that we saw above. The presence of a functional group such as alcohol decides the properties of the carbon compound, regardless of the length of the carbon chain. For example, the chemical properties of CH3OH, C2H5OH, C3H7OH and C4H9OH are all very similar. Hence, such a series of compounds in which the same functional group substitutes for hydrogen in a carbon chain is called a homologous series. Let us look at the homologous series that we saw earlier in Table 4.2. If we look at the formulae of successive compounds, say – CH4 and C2H6 C2H6 and C3H8
 "
What happens when methane is burnt in air ?,Methane burns in air with the formation of carbon dioxide and water. CH4+2O2 → CO2+2H2O+ Heat energy,"4.3.1 Combustion Carbon, in all its allotropic forms, burns in oxygen to give carbon dioxide along with the release of heat and light. Most carbon compounds also release a large amount of heat and light on burning. These are the oxidation reactions that you learnt about in the first Chapter – (i) C + O2 → CO2 + heat and light (ii) CH4 + O2 → CO2 + H2O + heat and light (iii) CH3CH2OH + O2 → CO2 + H2O + heat and light Balance the latter two reactions like you learnt in the first Chapter.
 "
Complete the following reaction : CH3COOH+NaHCO3 → ,CH3COOH + NaHCO3 → CH3COONa + H2O+CO2  1,"HNO3 + Ca(OH)2 → Ca(NO3)2 + H2O
 (b)
 NaOH + H2SO4 → Na2SO4 + H2O
 "
Write the chemical equations for the conversion of ethanol to ethanoic acid in the presence of KMnO4.  4 ,CH3CH2OH KMnO → CH3COOH Ethanol Ethanoic acid  1,"CH3COOC2H5 C2H5OH+CH3COONa (ii) Reaction with a base: Like mineral acids, ethanoic acid reacts with a base such as sodium hydroxide to give a salt (sodium ethanoate or commonly called sodium acetate) and water:
 NaOH + CH3COOH → CH3COONa + H2O How does ethanoic acid react with carbonates and hydrogencarbonates? Let us perform an activity to find out.
 NaOH + CH3COOH → CH3COONa + H2O How does ethanoic acid react with carbonates and hydrogencarbonates? Let us perform an activity to find out.
 "
What happens when bromine water is added to ethene gas ?,Ethene gas decolourises the brown colour of bromine water.,"You will observe the emission of brown fumes. These fumes are of nitrogen dioxide (NO2). The reaction that takes place is –
 "
Why is pure ethanoic acid called glacial ethanoic acid (or glacial acetic acid) ? ,"When pure ethanoic acid is cooled, it freezes to form a colourless, ice-like liquid. This pure ethanoic acid is called ethanoic acid (or glacial acetic acid). 1","4.4.2 Properties of Ethanoic Acid Ethanoic acid is commonly called acetic acid and belongs to a group of acids called carboxylic acids. 5-8% solution of acetic acid in water is called vinegar and is used widely as a preservative in pickles. The melting point of pure ethanoic acid is 290 K and hence it often freezes during winter in cold climates. This gave rise to its name glacial acetic acid. The group of organic compounds called carboxylic acids are obviously characterised by their acidic nature. However, unlike mineral acids like HCl, which are completely ionised, carboxylic acids are weak acids.
 "
What is osmoregulation ?,Osmoregulation is the maintenance of optimum concentration of water and salts in the body fluids.,"The concentrated sulphuric acid can be regarded as a dehydrating agent which removes water from ethanol.
 "
Which organ synthesises urea ?,Liver synthesises urea.,"Oxalic acid
 "
Why ammonia is converted to uric acid crystals directly in uricotelic organisms ?,"Animals, which live in dry conditions have to conserve water in their bodies. Therefore, they synthesise crystals of uric acid from their ammonia.","Acid
 Natural source
 Acid
 "
Mention the respiratory unit of lungs and excretory unit of kidneys. ,Respiratory unit of lungs — Alveoli Excretory unit of kidneys — Nephrons,"like in the lungs, is a cluster of very thin-walled blood capillaries. Each capillary cluster in the kidney is associated with the cup-shaped end of a coiled tube called Bowman’s capsule that collects the filtrate (Fig. 6.14). Each kidney has large numbers of these filtration units called nephrons packed close together. Some substances in the initial filtrate, such as glucose, amino acids, salts and a major amount of water, are selectively re-absorbed as the urine flows along the tube. The amount of water re-absorbed depends on how much excess water there is in the body, and on how much of dissolved waste there is to be excreted. The urine forming in each kidney eventually enters a long tube, the ureter, which connects the kidneys with the urinary bladder. Urine is stored in the urinary bladder until the pressure of the expanded bladder leads to the urge to pass it out through the urethra. The bladder is muscular, so it is under nervous control, as we have discussed elsewhere. As a result, we can usually control the urge to urinate.
 "
What causes the liquid part of blood to filter out from the glomerulus into the renal tubule ?,High pressure causes the liquid part of blood to filter out from the glomerulus into the renal tubule.,"Blood pressure The force that blood exerts against the wall of a vessel is called blood pressure. This pressure is much greater in arteries than in veins. The pressure of blood inside the artery during ventricular systole (contraction) is called systolic pressure and pressure in artery during ventricular diastole (relaxation) is called diastolic pressure. The normal systolic pressure is about 120 mm of Hg and diastolic pressure is 80 mm of Hg.
 Blood pressure is measured with an instrument called sphygmomanometer. High blood pressure is also called hypertension and is caused by the constriction of arterioles, which results in increased resistance to blood flow. It can lead to the rupture of an artery and internal bleeding.
 Blood pressure is measured with an instrument called sphygmomanometer. High blood pressure is also called hypertension and is caused by the constriction of arterioles, which results in increased resistance to blood flow. It can lead to the rupture of an artery and internal bleeding.
 The tubes – blood vessels Arteries are the vessels which carry blood away from the heart to various organs of the body. Since the blood emerges from the heart under high pressure, the arteries have thick, elastic walls. Veins collect the blood from different organs and bring it back to the heart. They do not need thick walls because the blood is no longer under pressure, instead they have valves that ensure that the blood flows only in one direction. On reaching an organ or tissue, the artery divides into smaller and smaller vessels to bring the blood in contact with all the individual cells. The smallest vessels have walls which are one-cell thick and are called capillaries. Exchange of material between the blood and surrounding cells takes place across this thin wall. The capillaries then join together to form veins that convey the blood away from the organ or tissue. Maintenance by platelets What happens if this system of tubes develops a leak? Think about situations when we are injured and start bleeding. Naturally the loss of blood from the system has to be minimised. In addition, leakage would lead to a loss of pressure which would reduce the efficiency of the
 "
Which tissue transports soluble products of photosynthesis? ,Phloem.,"pH
 "
Name the tissue that transports water and minerals in plants. ,Xylem.,"moves into the root from the soil to eliminate this difference. This means that there is steady movement of water into root xylem, creating a column of water that is steadily pushed upwards. However, this pressure by itself is unlikely to be enough to move water over the heights that we commonly see in plants. Plants use another strategy to move water in the xylem upwards to the highest points of the plant body.
 "
Define Peristaltic movement. () ,It is a wave of contraction behind the food and expansion in the region of contained food that occur's in the alimentary canal for pushing the food from anterior to posterior ends.,"We eat various types of food which has to pass through the same digestive tract. Naturally the food has to be processed to generate particles which are small and of the same texture. This is achieved by crushing the food with our teeth. Since the lining of the canal is soft, the food is also wetted to make its passage smooth. When we eat something we like, our mouth ‘waters’. This is actually not only water, but a fluid called saliva secreted by the salivary glands. Another aspect of the food we ingest is its complex nature. If it is to be absorbed from the alimentary canal, it has to be broken into smaller molecules. This is done with the help of biological catalysts called enzymes. The saliva contains an enzyme called salivary amylase that breaks down starch which is a complex molecule to give simple sugar. The food is mixed thoroughly with saliva and moved around the mouth while chewing by the muscular tongue. It is necessary to move the food in a regulated manner along the digestive tube so that it can be processed properly in each part. The lining of canal has muscles that contract rhythmically in order to push the food forward. These peristaltic movements occur all along the gut. From the mouth, the food is taken to the stomach through the food-pipe or oesophagus. The stomach is a large organ which expands when food enters it. The muscular walls of the stomach help in mixing the food Figure 6.6 Human alimentary canal thoroughly with more digestive juices. The digestion in stomach is taken care of by the gastric glands present in the wall of the stomach. These release hydrochloric acid, a protein digesting enzyme called pepsin, and mucus. The hydrochloric acid creates an acidic medium which facilitates the action of the enzyme pepsin. What other function do you think is served by the acid? The mucus protects the inner lining of the stomach from the action of the acid under normal conditions. We
 "
What is the role of saliva in the digestion of food ? ,"Saliva moistens the ingested food with mucus, sterilises it with lysozyme and partially digests starch part of food into sugar with the help of salivary amylase or ptyalin.","We eat various types of food which has to pass through the same digestive tract. Naturally the food has to be processed to generate particles which are small and of the same texture. This is achieved by crushing the food with our teeth. Since the lining of the canal is soft, the food is also wetted to make its passage smooth. When we eat something we like, our mouth ‘waters’. This is actually not only water, but a fluid called saliva secreted by the salivary glands. Another aspect of the food we ingest is its complex nature. If it is to be absorbed from the alimentary canal, it has to be broken into smaller molecules. This is done with the help of biological catalysts called enzymes. The saliva contains an enzyme called salivary amylase that breaks down starch which is a complex molecule to give simple sugar. The food is mixed thoroughly with saliva and moved around the mouth while chewing by the muscular tongue. It is necessary to move the food in a regulated manner along the digestive tube so that it can be processed properly in each part. The lining of canal has muscles that contract rhythmically in order to push the food forward. These peristaltic movements occur all along the gut. From the mouth, the food is taken to the stomach through the food-pipe or oesophagus. The stomach is a large organ which expands when food enters it. The muscular walls of the stomach help in mixing the food Figure 6.6 Human alimentary canal thoroughly with more digestive juices. The digestion in stomach is taken care of by the gastric glands present in the wall of the stomach. These release hydrochloric acid, a protein digesting enzyme called pepsin, and mucus. The hydrochloric acid creates an acidic medium which facilitates the action of the enzyme pepsin. What other function do you think is served by the acid? The mucus protects the inner lining of the stomach from the action of the acid under normal conditions. We
 "
What is emulsification? ,"The breakdown of fat globules in the duodenum into tiny droplets, which provides a larger surface area on which the enzyme pancreatic lipase can act to digest the fats into fatty acids and glycerol is emulsification.","Hydrogen gas combines with nitrogen to form ammonia.
 "
Where does digestion of fat takes place in our body ? ,Digestion of fats occur in duodenum and jejunum parts of small intestine with the help of enzyme lipase that acts on emulsified fat to form fatty acid and glycerol.,"have often heard adults complaining about ‘acidity’. Can this be related to what has been discussed above? The exit of food from the stomach is regulated by a sphincter muscle which releases it in small amounts into the small intestine. From the stomach, the food now enters the small intestine. This is the longest part of the alimentary canal which is fitted into a compact space because of extensive coiling. The length of the small intestine differs in various animals depending on the food they eat. Herbivores eating grass need a longer small intestine to allow the cellulose to be digested. Meat is easier to digest, hence carnivores like tigers have a shorter small intestine. The small intestine is the site of the complete digestion of carbohydrates, proteins and fats. It receives the secretions of the liver and pancreas for this purpose. The food coming from the stomach is acidic and has to be made alkaline for the pancreatic enzymes to act. Bile juice from the liver accomplishes this in addition to acting on fats. Fats are present in the intestine in the form of large globules which makes it difficult for enzymes to act on them. Bile salts break them down into smaller globules increasing the efficiency of enzyme action. This is similar to the emulsifying action of soaps on dirt that we have learnt about in Chapter 4. The pancreas secretes pancreatic juice which contains enzymes like trypsin for digesting proteins and lipase for breaking down emulsified fats. The walls of the small intestine contain glands which secrete intestinal juice. The enzymes present in it finally convert the proteins to amino acids, complex carbohydrates into glucose and fats into fatty acids and glycerol. Digested food is taken up by the walls of the intestine. The inner lining of the small intestine has numerous finger-like projections called villi which increase the surface area for absorption. The villi are richly supplied with blood vessels which take the absorbed food to each and every cell of the body, where it is utilised for obtaining energy, building up new tissues and the repair of old tissues. The unabsorbed food is sent into the large intestine where its wall absorb more water from this material. The rest of the material is removed from the body via the anus. The exit of this waste material is regulated by the anal sphincter.
 "
