question,answer,context
What is Organic farming ? ,"It is a farming system with minimal use of chemicals and maximum input of organic manures, recycled farm wastes, and bioagents with healthy cropping systems.","MANURE Manure contains large quantities of organic matter and also supplies small quantities of nutrients to the soil. Manure is prepared by the decomposition of animal excreta and plant waste. Manure helps in enriching soil with nutrients and organic matter and increasing soil fertility. The bulk of organic matter in manure helps in improving the soil structure. This involves increasing the water holding capacity in sandy soils. In clayey soils, the large quantities of organic matter help in drainage and in avoiding water logging. In using manure we use biological waste material, which is advantageous in protecting
 our environment from excessive use of fertilizers. Using biological waste material is also a way of recycling farm waste. Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc. is decomposed in pits is known as composting. The compost is rich in organic matter and nutrients. Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse. This is called vermicompost. (ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil. These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
 Organic farming is a farming system with minimal or no use of chemicals as fertilizers, herbicides, pesticides etc. and with a maximum input of organic manures, recycled farm-wastes (straw and livestock excreta), use of bio-agents such as culture of blue green algae in preparation of biofertilizers, neem leaves or turmeric specifically in grain storage as bio-pesticides, with healthy cropping systems [mixed cropping, inter-cropping and crop rotation as discussed below in 15.1.2.(iii)]. These cropping systems are beneficial in insect, pest and wheat control besides providing nutrients.
 "
What do you understand by the term photoperiod? ,"It is daily duration of light hours, which also affects plants’ growth along with climatic conditions, temperature etc. It is the duration of light required by plants for doing their normal activities.","Different crops require different climatic conditions, temperature and photoperiods for their growth and completion of their life cycle. Photoperiods are related to the duration of sunlight. Growth of plants and flowering are dependent on sunlight. As we all know, plants manufacture their food in sunlight by the process of photosynthesis. There are some crops, which are grown in rainy season, called
 "
Name the cell organelles which is generally small sized in animal cells and large in plant cells. ,Vacuoles.,"5.2.5 (vi) VACUOLES Vacuoles are storage sacs for solid or liquid contents. Vacuoles are small sized in animal cells while plant cells have very large vacuoles. The central vacuole of some plant cells may occupy 50-90% of the cell volume. THE FUNDAMENTAL UNIT
 OF
 In plant cells vacuoles are full of cell sap and provide turgidity and rigidity to the cell. Many substances of importance in the life of the plant cell are stored in vacuoles. These include amino acids, sugars, various organic acids and some proteins. In single-celled organisms like Amoeba, the food vacuole contains the food items that the Amoeba has consumed. In some unicellular organisms, specialised vacuoles also play important roles in expelling excess water and some wastes from the cell.
 "
List any two single celled  organisms.  1 Mark each,Amoeba and Euglena.,"Amoeba
 "
Mention the difference between Prokaryotes and Eukaryotes in terms of nuclear region present in them. ,Prokaryotic cells do not have a well defined nuclear region known as nucleoid where as Eukaryotic cells have a well defined nucleus.,"Prokaryotic Cell
 Eukaryotic Cell
 "
Name the process by which green plants make their own food. ,Photosynthesis.  1,"Recall which gas is required for photosynthesis. Find out the role of transpiration in plants. Epidermal cells of the roots, whose function is water absorption, commonly bear long hairlike parts that greatly increase the total absorptive surface area. In some plants like desert plants, epidermis has a thick waxy coating of cutin (chemical substance with waterproof quality) on its outer surface. Can we think of a reason for this? Is the outer layer of a branch of a tree different from the outer layer of a young stem? As plants grow older, the outer protective tissue undergoes certain changes. A strip of secondary meristem located in the cortex forms layers of cells which constitute the cork. Cells of cork are dead and compactly arranged without intercellular spaces (Fig. 6.6). They also have a substance called suberin in their walls that makes them impervious to gases and water. Cork cells
 "
Mention any two food materials which provide us carbohydrates. ,Potato and Rice.,"15.1 Improvement in Crop Yields Cereals such as wheat, rice, maize, millets and sorghum provide us carbohydrate for energy requirement. Pulses like gram (chana), pea (matar), black gram (urad), green gram (moong), pigeon pea (arhar), lentil (masoor), provide us with protein. And oil seeds including soyabean, ground nut, sesame, castor, mustard, linseed and sunflower provide us with necessary fats (Fig. 15.1). Vegetables, spices and fruits provide a range of vitamins and minerals in addition to small amounts of proteins, carbohydrates and fats. In addition to these food crops, fodder crops like berseem, oats or sudan grass are raised as food for the livestock.
 the kharif season from the month of June to October, and some of the crops are grown in the winter season, called the rabi season from November to April. Paddy, soyabean, pigeon pea, maize, cotton, green gram and black gram are kharif crops, whereas wheat, gram, peas, mustard, linseed are rabi crops. In India there has been a four times increase in the production of food grains from 1952 to 2010 with only 25% increase in the cultivable land area. How has this increase in production been achieved? If we think of the practices involved in farming, we can see that we can divide it into three stages. The first is the choice of seeds for planting. The second is the nurturing of the crop plants. The third is the protection of the growing and harvested crops from loss. Thus, the major groups of activities for improving crop yields can be classified as: • Crop variety improvement • Crop production improvement • Crop protection management.
 "
Q. 3.,Ans.,"AN
 "
Q. 4.,Ans.,"AN
 "
Q. 5.,Ans.,"AN
 "
Q. 6.," Name two breeds of buffaloes.  Murrah and Mehsana. In a certain technique, the developing embryo from a superior breed is removed and transferred into another female of inferior characters. Name this technique. The technique is embryo transfer. In a certain organisation in India cross breeds such as Karan swiss, Karan fries etc. have been developed. Which organisation is it ? Where is it located ? National Dairy Research Institute  at Karnal, Haryana. Cows A and B are of same breed. Cow A is fed on grass and cow B is fed on maize, grass, barley, etc. Which do you expect to give a higher quantity of milk ? Cow B as it has both roughage and concentrates in its diet. 1 Mark each","Cattle husbandry is done for two purposes— milk and draught labour for agricultural work such as tilling, irrigation and carting. Indian cattle belong to two different species, Bos indicus, cows, and Bos bubalis, buffaloes. Milk-producing females are called milch animals (dairy animals), while the ones used for farm labour are called draught animals. Milk production depends, to some extent, on the duration of the lactation period, meaning the period of milk production after 209
 Fig. 15.3: Indigenous milch breed of cattle
 the birth of a calf. So, milk production can be increased by increasing the lactation period. Exotic or foreign breeds (for example, Jersey, Brown Swiss) are selected for long lactation periods, while local breeds (for example, Red Sindhi, Sahiwal) show excellent resistance to diseases. The two can be cross-bred to get animals with both the desired qualities.
 "
A certain health conscious person needs to choose between milk of the Surti and the Murrah. Which one should he/she choose ?,He/she should opt for the milk from the Murrah as its fat content  is lesser than that of the Surti,"the birth of a calf. So, milk production can be increased by increasing the lactation period. Exotic or foreign breeds (for example, Jersey, Brown Swiss) are selected for long lactation periods, while local breeds (for example, Red Sindhi, Sahiwal) show excellent resistance to diseases. The two can be cross-bred to get animals with both the desired qualities.
 "
What has green revolution led to ?,Increased food grain production.,"Chapter 15 IMPROVEMENT IN FOOD RESOURCES We know that all living organisms need food. Food supplies proteins, carbohydrates, fats, vitamins and minerals, all of which we require for body development, growth and health. Both plants and animals are major sources of food for us. We obtain most of this food from agriculture and animal husbandry. We read in newspapers that efforts are always being made to improve production from agriculture and animal husbandry. Why is this necessary? Why we cannot make do with the current levels of production? India is a very populous country. Our population is more than one billion people, and it is still growing. As food for this growing population, we will soon need more than a quarter of a billion tonnes of grain every year. This can be done by farming on more land. But India is already intensively cultivated. As a result, we do not have any major scope for increasing the area of land under cultivation. Therefore, it is necessary to increase our production efficiency for both crops and livestock. Efforts to meet the food demand by increasing food production have led to some successes so far. We have had the green revolution, which contributed to increased food-grain production. We have also had the white revolution, which has led to better and more efficient use as well as availability of milk. However, these revolutions mean that our natural resources are getting used more intensively. As a result, there are more chances of causing damage to our natural resources to the point of destroying their balance completely. Therefore, it is important that we should increase food production without degrading our environment and disturbing the balances maintaining it.
 2021-22
 Hence, there is a need for sustainable practices in agriculture and animal husbandry. Also, simply increasing grain production for storage in warehouses cannot solve the problem of malnutrition and hunger. People should have money to purchase food. Food security depends on both availability of food and access to it. The majority of our population depends on agriculture for their livelihood. Increasing the incomes of people working in agriculture is therefore necessary to combat the problem of hunger. Scientific management practices should be undertaken to obtain high yields from far ms. For sustained livelihood, one should undertake mixed farming, intercropping, and integrated farming practices, for example, combine agriculture with livestock/poultry/fisheries/ bee-keeping. The question thus becomes – how do we increase the yields of crops and livestock?
 Hence, there is a need for sustainable practices in agriculture and animal husbandry. Also, simply increasing grain production for storage in warehouses cannot solve the problem of malnutrition and hunger. People should have money to purchase food. Food security depends on both availability of food and access to it. The majority of our population depends on agriculture for their livelihood. Increasing the incomes of people working in agriculture is therefore necessary to combat the problem of hunger. Scientific management practices should be undertaken to obtain high yields from far ms. For sustained livelihood, one should undertake mixed farming, intercropping, and integrated farming practices, for example, combine agriculture with livestock/poultry/fisheries/ bee-keeping. The question thus becomes – how do we increase the yields of crops and livestock?
 15.1 Improvement in Crop Yields Cereals such as wheat, rice, maize, millets and sorghum provide us carbohydrate for energy requirement. Pulses like gram (chana), pea (matar), black gram (urad), green gram (moong), pigeon pea (arhar), lentil (masoor), provide us with protein. And oil seeds including soyabean, ground nut, sesame, castor, mustard, linseed and sunflower provide us with necessary fats (Fig. 15.1). Vegetables, spices and fruits provide a range of vitamins and minerals in addition to small amounts of proteins, carbohydrates and fats. In addition to these food crops, fodder crops like berseem, oats or sudan grass are raised as food for the livestock.
 GRAINS
 Storage losses in agricultural produce can be very high. Factors responsible for such losses are biotic— insects, rodents, fungi, mites and bacteria, and abiotic— inappropriate moisture and temperatures in the place of storage. These factors cause degradation in quality, loss in weight, poor germinability, discolouration of produce, all leading to poor marketability. These factors can be controlled by proper treatment and by systematic management of warehouses. Preventive and control measures are used before grains are stored for future use. They include strict cleaning of the produce before storage, proper drying of the produce first in sunlight and then in shade, and fumigation using chemicals that can kill pests.
 "
What has white revolution led to ?,Better and more efficient use and availability of milk.,"FROM MILK?
 What do you observe on churning the milk?
 •
 Explain how the separation of cream from milk takes place.
 "
What are photoperiods related to ?,Duration of sunlight.,"Different crops require different climatic conditions, temperature and photoperiods for their growth and completion of their life cycle. Photoperiods are related to the duration of sunlight. Growth of plants and flowering are dependent on sunlight. As we all know, plants manufacture their food in sunlight by the process of photosynthesis. There are some crops, which are grown in rainy season, called
 "
What is the duration of Kharif season ?,From the month of June to October.,"October 1985
 October 1990
 "
What is the duration of Rabi season ?,From the month of November to April.,"October 1980
 October 1985
 October 1990
 the kharif season from the month of June to October, and some of the crops are grown in the winter season, called the rabi season from November to April. Paddy, soyabean, pigeon pea, maize, cotton, green gram and black gram are kharif crops, whereas wheat, gram, peas, mustard, linseed are rabi crops. In India there has been a four times increase in the production of food grains from 1952 to 2010 with only 25% increase in the cultivable land area. How has this increase in production been achieved? If we think of the practices involved in farming, we can see that we can divide it into three stages. The first is the choice of seeds for planting. The second is the nurturing of the crop plants. The third is the protection of the growing and harvested crops from loss. Thus, the major groups of activities for improving crop yields can be classified as: • Crop variety improvement • Crop production improvement • Crop protection management.
 "
Name the three stages in which farming practices are divided.," Choice of seeds,  Nurturing of crop plants and  Protection of the growing and harvested crops from loss.","The growing of different crops on a piece of land in a pre-planned succession is known as crop rotation. Depending upon the duration, crop rotation is done for different crop combinations. The availability of moisture and irrigation facilities decide the choice of the crop to be cultivated after one harvest. If crop rotation is done properly then two or three crops can be grown in a year with good harvests.
 15.1.3 CROP PROTECTION MANAGEMENT Field crops are infested by a large number of weeds, insect pests and diseases. If weeds and pests are not controlled at the appropriate time then they can damage the crops so much that most of the crop is lost. Weeds are unwanted plants in the cultivated field, for example, Xanthium
 15.1.3 CROP PROTECTION MANAGEMENT Field crops are infested by a large number of weeds, insect pests and diseases. If weeds and pests are not controlled at the appropriate time then they can damage the crops so much that most of the crop is lost. Weeds are unwanted plants in the cultivated field, for example, Xanthium
 "
What is the name given to crops obtained by introducing a gene that provides the desired characteristic ?,Genetically modified crops.,"This approach depends on finding a crop variety that can give a good yield. Varieties or strains of crops can be selected by breeding for various useful characteristics such as disease resistance, response to fertilisers, product quality and high yields. One way of incorporating desirable characters into crop varieties is by hybridisation. Hybridisation refers to crossing between genetically dissimilar plants. This crossing may be intervarietal (between different varieties), interspecific (between two different species of the same genus) or intergeneric (between different genera). Another way of improving the crop is by introducing a gene that would provide the desired characteristic. This results in genetically modified crops. For new varieties of crops to be accepted, it is necessary that the variety produces high yields under different conditions that are found in different areas. Farmers would need to be provided with good quality seeds of a particular variety, that is, the seeds should
 "
Name any two factors for which variety improvement is done.,Higher yield and improved quality.,"IMPROVEMENT
 "
What is animal husbandry ?,"Animal husbandry is the scientific management of animal livestock and includes feeding, breeding and disease control.","Animal husbandry is the scientific management of animal livestock. It includes various aspects such as feeding, breeding and disease control. Animal-based farming includes cattle, goat, sheep, poultry and fish farming. As the population increases and as living standards increase, the demand for milk, eggs and meat is also going up. Also, the growing awareness of the need for humane treatment of livestock has brought in new limitations in livestock farming. Thus, livestock production also needs to be improved.
 "
What is the purpose of cattle husbandry ?,"The cattle husbandry is done mainly for two purposes-milk and draught labour for agricultural work such as tilling, irrigation and carting.","Animal husbandry is the scientific management of animal livestock. It includes various aspects such as feeding, breeding and disease control. Animal-based farming includes cattle, goat, sheep, poultry and fish farming. As the population increases and as living standards increase, the demand for milk, eggs and meat is also going up. Also, the growing awareness of the need for humane treatment of livestock has brought in new limitations in livestock farming. Thus, livestock production also needs to be improved.
 15.2.1 CATTLE
 15.2.1 CATTLE
 FARMING
 Cattle husbandry is done for two purposes— milk and draught labour for agricultural work such as tilling, irrigation and carting. Indian cattle belong to two different species, Bos indicus, cows, and Bos bubalis, buffaloes. Milk-producing females are called milch animals (dairy animals), while the ones used for farm labour are called draught animals. Milk production depends, to some extent, on the duration of the lactation period, meaning the period of milk production after 209
 Cattle husbandry is done for two purposes— milk and draught labour for agricultural work such as tilling, irrigation and carting. Indian cattle belong to two different species, Bos indicus, cows, and Bos bubalis, buffaloes. Milk-producing females are called milch animals (dairy animals), while the ones used for farm labour are called draught animals. Milk production depends, to some extent, on the duration of the lactation period, meaning the period of milk production after 209
 Proper cleaning and shelter facilities for cows and buffaloes are required for humane farming, for the health of the animals and for production of clean milk as well. Animals require regular brushing to remove dirt and
 loose hair. They should be sheltered under well-ventilated roofed sheds that protect them from rain, heat and cold. The floor of the cattle shed needs to be sloping so as to stay dry and to facilitate cleaning. The food requirements of dairy animals are of two types: (a) maintenance requirement, which is the food required to support the animal to live a healthy life, and (b) milk producing requirement, which is the type of food required during the lactation period. Animal feed includes: (a) roughage, which is largely fibre, and (b) concentrates, which are low in fibre and contain relatively high levels of proteins and other nutrients. Cattle need balanced rations containing all nutrients in proportionate amounts. Besides such nutritious food material, certain feed additives containing micronutrients promote the health and milk output of dairy animals. Cattle suffer from a number of diseases. The diseases, besides causing death, reduce milk production. A healthy animal feeds regularly and has a normal posture. The parasites of cattle may be both external parasites and internal parasites. The external parasites live on the skin and mainly cause skin diseases. The internal parasites like worms, affect stomach and intestine while flukes damage the liver. Infectious diseases are also caused by bacteria and viruses. Vaccinations are given to farm animals against many major viral and bacterial diseases.
 "
