question,answer,context
"On the basis of study of saponification reactions, a group of students noted down the following com­ ments in their notebooks: (i) The nature of the reaction mixture is basic. (ii) In saponification reactions, heat is evolved. (iii) Saponification reaction is not a neutralization reaction. (iv) Soap is nothing but a salt of fatty acids. Which of these comments is correct according to you?","The correct comments are: (i) In saponification reactions, heat is evolved. (ii) Saponification reaction is not a neutralization reaction. (iii) Soap is nothing but a salt of fatty acids.","2.1.2 How do Acids and Bases React with Metals? Activity 2.3 CAUTION: This activity needs the teacher’s assistance. n Set the apparatus as shown in Fig. 2.1. n Take about 5 mL of dilute sulphuric acid in a test tube and add a few pieces of zinc granules to it. n What do you observe on the surface of zinc granules? n Pass the gas being evolved through the soap solution. n Why are bubbles formed in the soap solution? n Take a burning candle near a gas filled bubble. n What do you observe? n Repeat this Activity with some more acids like HCl, HNO3 and CH3COOH. n Are the observations in all the cases the same or different?
 "
"When the red litmus paper and the blue litmus pa­ per are dipped into the soap solution, what colour changes, will you observe?","Red litmus paper turn blue and blue litmus pa­ per remains colourless, as soap solution is basic in nature.","Collect the following solutions from the science laboratory– hydrochloric acid (HCl), sulphuric acid (H2SO4), nitric acid (HNO3), acetic acid (CH 3COOH), sodium hydroxide (NaOH), calcium hydroxide [Ca(OH)2], potassium hydroxide (KOH), magnesium hydroxide [Mg(OH)2], and ammonium hydroxide (NH4OH). Put a drop of each of the above solutions on a watch-glass one by one and test with a drop of the indicators shown in Table 2.1. What change in colour did you observe with red litmus, blue litmus, phenolphthalein and methyl orange solutions for each of the solutions taken? Tabulate your observations in Table 2.1.
 Table 2.1 Sample solution
 Red litmus solution
 Red litmus solution
 Blue litmus solution
 Why does dry HCl gas not change the colour of the dry litmus paper?
 "
Rupal took a liquid A in a test-tube and added sodium hydroxide solution in it. The mixture was stirred for some time. Glyceride and solid B are formed after the reaction. Identify A and B?,Olive oil (A) and sodium hydroxide forms soap (B).,"Use molecular model kits to make models of the compounds you have learnt in this Chapter. n Take about 20 mL of castor oil/cotton seed oil/linseed oil/soyabean oil in a beaker. Add 30 mL of 20 % sodium hydroxide solution. Heat the mixture with continuous stirring for a few minutes till the mixture thickens. Add 5-10 g of common salt to this. Stir the mixture well and allow it to cool. n You can cut out the soap in fancy shapes. You can also add perfume to the soap before it sets.
 "
"For determining the saponification reaction for the preparation of soap, write down the name of any five apparatus that we require?","Beaker, measuring cylinder, thermometer, testtube, glass rod.","Things made of glass/clay
 "
Name any two chemicals used for the preparation of toilet soap?,Fat and potassium hydroxide are used to pre­pare toilet soap.,"Potassium metal reacts with water to give potassium hydroxide and hydrogen gas.
 "
We need 20% aqueous solution of sodium hydroxide for the study of saponification reaction. When we open the lid of the bottle containing solid sodium hydroxide we observe it in which form?,Solid sodium hydroxide is stored in the form of white pellets/flake.,"(Sodium hydrogencarbonate)
 (Sodium carbonate)
 (Sodium ethoxide)
 "
Consider the following oils : (i) Mobile oil (ii) Castor oil (iii) Turpentine oil (iv) Kerosene (v) Mustard oil (vi) Coconut oil Which of these can be used for preparation of soap?,"Castor oil, Turpentine oil, and coconut oil can be used for preparation of soap.","Use molecular model kits to make models of the compounds you have learnt in this Chapter. n Take about 20 mL of castor oil/cotton seed oil/linseed oil/soyabean oil in a beaker. Add 30 mL of 20 % sodium hydroxide solution. Heat the mixture with continuous stirring for a few minutes till the mixture thickens. Add 5-10 g of common salt to this. Stir the mixture well and allow it to cool. n You can cut out the soap in fancy shapes. You can also add perfume to the soap before it sets.
 "
"In a locality, hard water, required for an experiment, is not available. However, the following salts are available in the school laboratory : 1. Sodium sulphate 2. Calcium sulphate 3. Magnesium chloride 4. Sodium chloride 5. Calcium chloride 6. Potassium sulphate Which of the above salts may be dissolved in water to obtain hard water for the experiment?","Water containing calcium and magnesium salts is known as hard water. Among the given salts, calcium sulphate, magnesium chloride and calcium chloride can be dissolved in water to obtain hard water.","Name the sodium compound which is used for softening hard water.
 "
"A student takes about 6 ml of distilled water in each of the four test tubes P, Q, R and S. He then dissolves an equal amount of four different salts namely, sodium chloride in ‘P’, potassium chloride in ‘Q’, calcium chloride in ‘R’ and magnesium chloride in ‘S’. Next, he then adds 10 drops of soap solution to each test tube and shakes its contents. In which of these test tubes the scum (insoluble substance) is formed with soap?","Scum is formed by reaction of soap with calcium and magnesium salts in water. Test-tubes R and S contain calcium chloride and magnesium chloride, respectively. Therefore, scum will be formed in these two test-tubes.","Take two test tubes with about 10 mL of hard water in each. Add five drops of soap solution to one and five drops of detergent solution to the other. Shake both test tubes for the same period. Do both test tubes have the same amount of foam? In which test tube is a curdy solid formed?
 Have you ever observed while bathing that foam is formed with difficulty and an insoluble substance (scum) remains after washing with water? This is caused by the reaction of soap with the calcium and magnesium salts, which cause the hardness of water. Hence you need to use a larger amount of soap. This problem is overcome by using another class of compounds called detergents as cleansing agents. Detergents are generally sodium salts of sulphonic acids or ammonium salts with chlorides or bromides ions, etc. Both have long hydrocarbon chain. The charged ends of these compounds do not form insoluble precipitates with the calcium and magnesium ions in hard water. Thus, they remain effective in hard water. Detergents are usually used to make shampoos and products for cleaning clothes.
 Have you ever observed while bathing that foam is formed with difficulty and an insoluble substance (scum) remains after washing with water? This is caused by the reaction of soap with the calcium and magnesium salts, which cause the hardness of water. Hence you need to use a larger amount of soap. This problem is overcome by using another class of compounds called detergents as cleansing agents. Detergents are generally sodium salts of sulphonic acids or ammonium salts with chlorides or bromides ions, etc. Both have long hydrocarbon chain. The charged ends of these compounds do not form insoluble precipitates with the calcium and magnesium ions in hard water. Thus, they remain effective in hard water. Detergents are usually used to make shampoos and products for cleaning clothes.
 "
A student puts a drop of reaction mixture of a saponification reaction first on a blue litmus paper and then on a red litmus paper. Write down the observation he will observe?,There is no change in blue litmus paper as soap solution is alkaline in nature.,"Blue litmus solution
 "
"During saponification reaction, Rupal takes refined oil in a test-tube and adds 20% NaOH solution. She then stirs the reacting mixture. Write down the observation she will observe?",She will observe that soap settles down in the testtube.,"This activity demonstrates the effect of soap in cleaning. Most dirt is oily in nature and as you know, oil does not dissolve in water. The molecules of soap are sodium or potassium salts of long-chain carboxylic acids. The ionic-end of soap interacts with water while the carbon chain interacts with oil. The soap molecules, thus form structures called micelles (see Fig. 4.12) where one end of the molecules is towards the oil droplet while the ionic-end faces outside. This forms an emulsion in water. The soap micelle thus helps in pulling out the dirt in water and we can wash our clothes clean (Fig. 4.13). Can you draw the structure of the micelle that would be formed if you dissolve soap in a hydrocarbon?
 More to Know!
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 these molecules have a unique orientation that keeps the hydrocarbon portion out of the water. Thus, clusters of molecules in which the hydrophobic tails are in the interior of the cluster and the ionic ends are on the surface of the cluster. This formation is called a micelle. Soap in the form of a micelle is able to clean, since the oily dirt will be collected in the centre of the micelle. The micelles stay in solution as a colloid and will not come together to precipitate because of ion-ion repulsion. Thus, the dirt suspended in the micelles is also easily rinsed away. The soap micelles are large enough to scatter light. Hence a soap solution appears cloudy. Figure 4.13 Effect of soap in cleaning
 Take two test tubes with about 10 mL of hard water in each. Add five drops of soap solution to one and five drops of detergent solution to the other. Shake both test tubes for the same period. Do both test tubes have the same amount of foam? In which test tube is a curdy solid formed?
 "
Do soaps create water pollution? Give reason in support of your answer?,"No, because soaps are biodegradable.","This activity demonstrates the effect of soap in cleaning. Most dirt is oily in nature and as you know, oil does not dissolve in water. The molecules of soap are sodium or potassium salts of long-chain carboxylic acids. The ionic-end of soap interacts with water while the carbon chain interacts with oil. The soap molecules, thus form structures called micelles (see Fig. 4.12) where one end of the molecules is towards the oil droplet while the ionic-end faces outside. This forms an emulsion in water. The soap micelle thus helps in pulling out the dirt in water and we can wash our clothes clean (Fig. 4.13). Can you draw the structure of the micelle that would be formed if you dissolve soap in a hydrocarbon?
 More to Know!
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 these molecules have a unique orientation that keeps the hydrocarbon portion out of the water. Thus, clusters of molecules in which the hydrophobic tails are in the interior of the cluster and the ionic ends are on the surface of the cluster. This formation is called a micelle. Soap in the form of a micelle is able to clean, since the oily dirt will be collected in the centre of the micelle. The micelles stay in solution as a colloid and will not come together to precipitate because of ion-ion repulsion. Thus, the dirt suspended in the micelles is also easily rinsed away. The soap micelles are large enough to scatter light. Hence a soap solution appears cloudy. Figure 4.13 Effect of soap in cleaning
 Have you ever observed while bathing that foam is formed with difficulty and an insoluble substance (scum) remains after washing with water? This is caused by the reaction of soap with the calcium and magnesium salts, which cause the hardness of water. Hence you need to use a larger amount of soap. This problem is overcome by using another class of compounds called detergents as cleansing agents. Detergents are generally sodium salts of sulphonic acids or ammonium salts with chlorides or bromides ions, etc. Both have long hydrocarbon chain. The charged ends of these compounds do not form insoluble precipitates with the calcium and magnesium ions in hard water. Thus, they remain effective in hard water. Detergents are usually used to make shampoos and products for cleaning clothes.
 "
Take a test-tube and put soap and water and shake it for 10 times by placing thumb on its mouth. What will you observe?,"When you put soap and water in a test tube and shake it well for 10 times by placing thumb on its mouth, it will form foam.","Take two test tubes with about 10 mL of hard water in each. Add five drops of soap solution to one and five drops of detergent solution to the other. Shake both test tubes for the same period. Do both test tubes have the same amount of foam? In which test tube is a curdy solid formed?
 "
"In the diagram given below. Ankita labelled the diagram as—  (i) Stomatal pore (ii) Guard cell (iii) Nucleus (iv) Chloroplast Is she correct ? If not, then do the correct labelling ?","No, she was not correct. Correct labelling should be : (i) Guard cell (ii) Nucleus (iii) Chloroplast (iv) Stomatal pore ","8.3.3 (b) Female Reproductive System The female germ-cells or eggs are made in the ovaries. They are also responsible for the production of some hormones. Look at Fig. 8.11 and identify the various organs in the female reproductive system.
 "
Shyama and Rehana prepared temporary mounts of leaf peel separately. Shyama obtained a clear slide whereas Rehana observed irregular patches when observed under a microscope. What could be the possible anomaly in Rehana’s slide preparation and how it can be eliminated ? ,The possible anomaly is the formation of air bubbles. Place the coverslip over the peel gently with the help of a needle. ,"Fruit-peels, cake and lime-juice
 "
Johanson observed the temporary mount of a leaf peel under a compound microscope and found one pore as an elliptical pore and the other kidney shaped. Name the parts. ,Elliptical shape pore is stoma. Kidney shape is guard cells. ,"Now, let us study how the plant obtains carbon dioxide. In Class IX, we had talked about stomata (Fig. 6.3) which are tiny pores present on the surface of the leaves. Massive amounts of gaseous exchange takes place in the leaves through these pores for the purpose of photosynthesis. But it is important to note here that exchange of gases occurs across the surface of stems, roots and leaves as well. Since large amounts of water can also be lost through these stomata, the plant Figure 6.3 (a) Open and (b) closed stomatal pore closes these pores when it does not need carbon dioxide for photosynthesis. The opening and closing of the pore is a function of the guard cells. The guard cells swell when water flows into them, causing the stomatal pore to open. Similarly the pore closes if the guard cells shrink.
 like in the lungs, is a cluster of very thin-walled blood capillaries. Each capillary cluster in the kidney is associated with the cup-shaped end of a coiled tube called Bowman’s capsule that collects the filtrate (Fig. 6.14). Each kidney has large numbers of these filtration units called nephrons packed close together. Some substances in the initial filtrate, such as glucose, amino acids, salts and a major amount of water, are selectively re-absorbed as the urine flows along the tube. The amount of water re-absorbed depends on how much excess water there is in the body, and on how much of dissolved waste there is to be excreted. The urine forming in each kidney eventually enters a long tube, the ureter, which connects the kidneys with the urinary bladder. Urine is stored in the urinary bladder until the pressure of the expanded bladder leads to the urge to pass it out through the urethra. The bladder is muscular, so it is under nervous control, as we have discussed elsewhere. As a result, we can usually control the urge to urinate.
 Figure 6.14 Structure of a nephron
 "
State the importance of stomata for a plant. ,Importance of Stomata— (i) Helps in exchange of gases like O2 and CO2. (ii) Removes extra water from leaves by transpiration.  1 + 1,"Provided that the plant has an adequate supply of water, the water which is lost through the stomata is replaced by water from the xylem vessels in the leaf. In fact, evaporation of water molecules from the cells of a leaf creates a suction which pulls water from the xylem cells of roots. The loss of water in the form of vapour from the aerial parts of the plant is known as transpiration. Thus, transpiration helps in the absorption and upward movement of water and minerals dissolved in it from roots to the leaves. It also helps in temperature regulation. The effect of root pressure in transport of water is more important at night. During the day when the stomata are open, the transpiration pull becomes the major driving force in the movement Figure 6.12 of water in the xylem. Movement of water during transpiration in a tree Transport of food and other substances So far we have discussed the transport of water and minerals in plants. Now let us consider how the products of metabolic processes, particularly photosynthesis, are moved from leaves, where they are formed, to other parts of the plant. This transport of soluble products of photosynthesis is called translocation and it occurs in the part of the vascular tissue known as phloem. Besides the products of photosynthesis, the phloem transports amino acids and other substances. These substances are especially delivered to the storage organs of roots, fruits and seeds and to growing organs. The translocation of food and other substances takes place in the sieve tubes with the help of adjacent companion cells both in upward and downward directions. Unlike transport in xylem which can be largely explained by simple physical forces, the translocation in phloem is achieved by utilising
 "
In an experiment to prepare the temporary mount of a leaf peel to show stomata why glycerine and safranin are used ? ,(i) Leaf peels are mounted in glycerine to prevent it from drying. (ii) Safranin is used to stain the leaf peels.,"Figure 6.2 Variegated leaf (a) before and (b) after starch test
 n
 Take a potted plant with variegated leaves – for example, money plant or crotons. Keep the plant in a dark room for three days so that all the starch gets used up. Now keep the plant in sunlight for about six hours. Pluck a leaf from the plant. Mark the green areas in it and trace them on a sheet of paper. Dip the leaf in boiling water for a few minutes. After this, immerse it in a beaker containing alcohol. Carefully place the above beaker in a water-bath and heat till the alcohol begins to boil. What happens to the colour of the leaf? What is the colour of the solution? Now dip the leaf in a dilute solution of iodine for a few minutes. Take out the leaf and rinse off the iodine solution. Observe the colour of the leaf and compare this with the tracing of the leaf done in the beginning (Fig. 6.2). What can you conclude about the presence of starch in various areas of the leaf?
 (Gypsum)
 "
Mention any two functions of epidermis. ,"(i) Epidermis on the aerial parts of plants often secrete a waxy, water resistant layer on their outer surface. (ii) They prevent water loss, mechanical injury and invasion by parasitic bacteria or fungi. ","If we think about where exactly the plant is touched, and what part of the plant actually moves, it is apparent that movement happens at a point different from the point of touch. So, information that a touch has occurred must be communicated. The plants also use electrical-chemical means to convey this information from cell to cell, but unlike in animals, there is no specialised tissue in plants for the conduction of information. Finally, again as in animals, some cells must change shape in order for movement to happen. Instead of the specialised proteins found in animal muscle cells, plant cells change shape by changing the amount of water in them, resulting in swelling or shrinking, and therefore in changing shapes.
 "
"A student prepared the temporary mount of stained leaf peel. After observing the slide under microscope, he drew the following sketch. Identify and name the parts labelled as A, B, C and D. ",(A) Chloroplast (B) Stomatal pore or stoma (C) Guard cell (D) Nucleus,"What are the components of the transport system in highly organised plants?
 "
"In the given figure label the structures I, II, III, and IV marked in the diagram.",I – Epidermal cells 		II – Chloroplast 		III – Nucleus 		IV – Stoma.,"8.3.3 (b) Female Reproductive System The female germ-cells or eggs are made in the ovaries. They are also responsible for the production of some hormones. Look at Fig. 8.11 and identify the various organs in the female reproductive system.
 "
Why upper surface of the leaf has fewer stomata ?,Fewer stomata on the upper surface prevent excessive loss of water due to transpiration as this surface is directly exposed to sunlight.,"Provided that the plant has an adequate supply of water, the water which is lost through the stomata is replaced by water from the xylem vessels in the leaf. In fact, evaporation of water molecules from the cells of a leaf creates a suction which pulls water from the xylem cells of roots. The loss of water in the form of vapour from the aerial parts of the plant is known as transpiration. Thus, transpiration helps in the absorption and upward movement of water and minerals dissolved in it from roots to the leaves. It also helps in temperature regulation. The effect of root pressure in transport of water is more important at night. During the day when the stomata are open, the transpiration pull becomes the major driving force in the movement Figure 6.12 of water in the xylem. Movement of water during transpiration in a tree Transport of food and other substances So far we have discussed the transport of water and minerals in plants. Now let us consider how the products of metabolic processes, particularly photosynthesis, are moved from leaves, where they are formed, to other parts of the plant. This transport of soluble products of photosynthesis is called translocation and it occurs in the part of the vascular tissue known as phloem. Besides the products of photosynthesis, the phloem transports amino acids and other substances. These substances are especially delivered to the storage organs of roots, fruits and seeds and to growing organs. The translocation of food and other substances takes place in the sieve tubes with the help of adjacent companion cells both in upward and downward directions. Unlike transport in xylem which can be largely explained by simple physical forces, the translocation in phloem is achieved by utilising
 "
What precautions should be taken to study the liberation of carbon dioxide gas during aerobic respiration ?,Precautions are : (i) Ensure that the experimental set-up is air-tight. (ii) KOH is corrosive. Handle it carefully.,"Name two safety measures commonly used in electric circuits and appliances.
 "
Why KOH solution is kept in the test-tube inside the air-tight conical flask while doing the experiment of respiration of seeds ?,KOH solution kept in the test-tube inside the airtight conical flask absorbs the evolved carbon dioxide released by germinating seeds thereby creating a partial vacuum in the conical flask. So an equal volume of water rises up in the tube. This indicates that the germinating seeds are actively respiring and evolving carbon dioxide gas during the process of respiration.,"Take a plastic mug. Drill two holes at its base and fit rubber stoppers in these holes. Insert carbon electrodes in these rubber stoppers as shown in Fig. 1.6. Connect these electrodes to a 6 volt battery. Fill the mug with water such that the electrodes are immersed. Add a few drops of dilute sulphuric acid to the water. Take two test tubes filled with water and invert them over the two carbon electrodes. Switch on the current and leave the apparatus undisturbed for some time. You will observe the formation of bubbles at both the electrodes. These bubbles displace water in the test tubes. Is the volume of the gas collected the same in both the test tubes? Once the test tubes are filled with the respective gases, remove them carefully. Test these gases one by one by bringing a burning candle close to the mouth of the test tubes. CAUTION: This step must be performed carefully by the teacher. What happens in each case? Which gas is present in each test tube?
 "
Why a leaf is boiled in alcohol before doing starch test ?,The leaf is boiled to remove its chlorophyll. Green colour of chlorophyll might hinder the reaction of starch with iodine.,"Figure 6.2 Variegated leaf (a) before and (b) after starch test
 n
 Take a potted plant with variegated leaves – for example, money plant or crotons. Keep the plant in a dark room for three days so that all the starch gets used up. Now keep the plant in sunlight for about six hours. Pluck a leaf from the plant. Mark the green areas in it and trace them on a sheet of paper. Dip the leaf in boiling water for a few minutes. After this, immerse it in a beaker containing alcohol. Carefully place the above beaker in a water-bath and heat till the alcohol begins to boil. What happens to the colour of the leaf? What is the colour of the solution? Now dip the leaf in a dilute solution of iodine for a few minutes. Take out the leaf and rinse off the iodine solution. Observe the colour of the leaf and compare this with the tracing of the leaf done in the beginning (Fig. 6.2). What can you conclude about the presence of starch in various areas of the leaf?
 Take a potted plant with variegated leaves – for example, money plant or crotons. Keep the plant in a dark room for three days so that all the starch gets used up. Now keep the plant in sunlight for about six hours. Pluck a leaf from the plant. Mark the green areas in it and trace them on a sheet of paper. Dip the leaf in boiling water for a few minutes. After this, immerse it in a beaker containing alcohol. Carefully place the above beaker in a water-bath and heat till the alcohol begins to boil. What happens to the colour of the leaf? What is the colour of the solution? Now dip the leaf in a dilute solution of iodine for a few minutes. Take out the leaf and rinse off the iodine solution. Observe the colour of the leaf and compare this with the tracing of the leaf done in the beginning (Fig. 6.2). What can you conclude about the presence of starch in various areas of the leaf?
 "
You want to study a decomposition reaction by taking ferrous sulphate crystals in a boiling tube. List two precautions you would follow while doing the experiment. , Take a dry boiling tube.  Keep mouth of test-tube away from yourself. 1 + 1 ,"Put small pieces of the samples separately in beakers half-filled with cold water.
 "
"While studying a type of reactions, Neena mixed the substances as shown below :", Copper is displaced by iron.  It is a displacement reaction. ,"Copper
 Zinc oxide Magnesium oxide Copper oxide In which cases will you find displacement reactions taking place? 2.
 In this reaction, iron has displaced or removed another element, copper, from copper sulphate solution. This reaction is known as displacement reaction. Other examples of displacement reactions are Zn(s) + CuSO4(aq) → ZnSO4(aq) + Cu(s) (1.25) (Copper sulphate)
 "
Observe the following figures A and B. Iron nail Copper sulphate solution Ferrous sulphate crystals State the change in substances taken is test-tubes A and B. Mention the type of reaction in each case.   Has Neena observed the occurrence of reaction ? If not why ?  What kind of reaction she wanted to study ? ," No, the substances should be taken in solution form.  Double displacement reaction. ","displacement reaction.
 "
