question,answer,context_1,context_2,context_3,context_4,context_5
Q. 1. Name any one characteristics of Bombay city.,Ans. It is a centre of trade and industry.,"Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","In Western and parts of Central Europe the growth of industrial production and trade meant the growth of towns and the emergence of commercial classes whose existence was based on production for the market. Industrialisation began in England in the second half of the eighteenth century, but in France and parts of the German states it occurred only during the nineteenth century. In its wake, new social groups came into being: a working-class population, and middle classes made up of industrialists, businessmen, professionals. In Central and Eastern Europe these groups were smaller in number till late nineteenth century. It was among the educated, liberal middle classes that ideas of national unity following the abolition of aristocratic privileges gained popularity.
","A variety of Indian merchants and bankers were involved in this network of export trade – financing production, carrying goods and supplying exporters. Supply merchants linked the port towns to the inland regions. They gave advances to weavers, procured the woven cloth from weaving villages, and carried the supply to the ports. At the port, the big shippers and export merchants had brokers who negotiated the price and bought goods from the supply merchants operating inland. By the 1750s this network, controlled by Indian merchants, was breaking down. The European companies gradually gained power – first securing a variety of concessions from local courts, then the monopoly rights to trade. This resulted in a decline of the old ports of Surat and Hoogly through which local merchants had operated. Exports from these ports fell dramatically, the credit that had financed the earlier trade began drying up, and the local bankers slowly went bankrupt. In the last years of the seventeenth century, the gross value of trade that passed through Surat had been Rs 16 million. By the 1740s it had slumped to Rs 3 million. 89 2020-21
","Source C The Commissioner of Patna wrote: ‘It appears that twenty yeas ago, a brisk trade was carried on in the manufacture of cloth at Jahanabad, and Behar, which has in the former place entirely ceased, while in the latter the amount of manufacture is very limited, in consequence of the cheap and durable goods from Manchester with which the Native manufactures are unable to compete.’ Quoted in J. Krishnamurty, ‘Deindustrialisation in Gangetic Bihar during the nineteenth century’, The Indian Economic and Social History Review, 1985.
","Conclusion Clearly, the age of industries has meant major technological changes, growth of factories, and the making of a new industrial labour force. However, as you have seen, hand technology and small-scale production remained an important part of the industrial landscape. Look again at Figs. 1 and 2. What would you now say of the images they project?
"
Q. 2. Which city had a long history of air pollution ?,Ans. Calcutta .,"Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","Bombay
","Source C The Commissioner of Patna wrote: ‘It appears that twenty yeas ago, a brisk trade was carried on in the manufacture of cloth at Jahanabad, and Behar, which has in the former place entirely ceased, while in the latter the amount of manufacture is very limited, in consequence of the cheap and durable goods from Manchester with which the Native manufactures are unable to compete.’ Quoted in J. Krishnamurty, ‘Deindustrialisation in Gangetic Bihar during the nineteenth century’, The Indian Economic and Social History Review, 1985.
","Madras
","Central Provinces Bengal
"
Q. 3. Identify an architect and planner who developed the principle of the Garden City.,Ans. Ebenezer Howard.,"Thomas Wood, a Yorkshire mechanic, narrated how he would rent old newspapers and read them by firelight in the evenings as he could not afford candles. Autobiographies of poor people narrated their struggles to read against grim obstacles: the twentieth-century Russian revolutionary author Maxim Gorky’s My Childhood and My University provide glimpses of such struggles.
","Stanley was a journalist and explorer sent by the New York Herald to find Livingston, a missionary and explorer who had been in Africa for several years. Like other European and American explorers of the time, Stanley went with arms, mobilised local hunters, warriors and labourers to help him, fought with local tribes, investigated African terrains, and mapped different regions. These explorations helped the conquest of Africa. Geographical explorations were not driven by an innocent search for scientific information. They were directly linked to imperial projects. Fig. 11 – Sir Henry Morton Stanley and his retinue in Central Africa, Illustrated London News, 1871.
","Source F Bhai Bhosle, a trade unionist of Bombay, recollected his childhood in the 1930s and 1940s:
","FRENCH EQUATORIAL AFRICA ANGLOEGYPTIAN SUDAN
","Box 2 Sir Henry Morton Stanley in Central Africa
"
Q. 4. When was the very first section of the underground railway in the world opened ?,"Ans. 10 January, 1863.","Native Opinion, 3 April 1870.
","1858
","Fig. 2 – Two Magicians, published in Inland Printers, 26 January 1901.
","1870
","Fig. 13 — Caricature of Otto von Bismarck in the German reichstag (parliament), from Figaro, Vienna, 5 March 1870.
"
Q. 5. When did Bombay become the capital of Bombay Presidency ?,Ans. 1819.,"Fig. 1 – Dawn of the Century, published by E.T. Paull Music Co., New York, England, 1900.
","Native Opinion, 3 April 1870.
","1858
","2.3 A New Conservatism after 1815
","Fig. 2 – Two Magicians, published in Inland Printers, 26 January 1901.
"
Q. 6. Who wrote the book ‘The Bitter Cry of Outcaste London’ in the 1880s ?,Ans. Andrew Mearns. 1 mark each,"In 1900, a popular music publisher E.T. Paull produced a music book that had a picture on the cover page announcing the ‘Dawn of the Century’ (Fig. 1). As you can see from the illustration, at the centre of the picture is a goddess-like figure, the angel of progress, bearing the flag of the new century. She is gently perched on a wheel with wings, symbolising time. Her flight is taking her into the future. Floating about, behind her, are the signs of progress: railway, camera, machines, printing press and factory.
","Symbol of the German empire – strength
","Mahatma Gandhi’s letter was, in a way, an ultimatum. If the demands were not fulfilled by 11 March, the letter stated, the Congress would launch a civil disobedience campaign. Irwin was unwilling to negotiate. So Mahatma Gandhi started his famous salt march accompanied by 78 of his trusted volunteers. The march was over 240 miles, from Gandhiji’s ashram in Sabarmati to the Gujarati coastal town of Dandi. The volunteers walked for 24 days, about 10 miles a day. Thousands came to hear Mahatma Gandhi wherever he stopped, and he told them what he meant by swaraj and urged them to peacefully defy the British. On 6 April he reached Dandi, and ceremonially violated the law, manufacturing salt by boiling sea water. This marked the beginning of the Civil Disobedience Movement. How was this movement different from the Non-Cooperation Movement? People were now asked not only to refuse cooperation 39 2020-21
","Fig. 12 – Bharat Mata, Abanindranath Tagore, 1905. Notice that the mother figure here is shown as dispensing learning, food and clothing. The mala in one hand emphasises her ascetic quality. Abanindranath Tagore, like Ravi Varma before him, tried to develop a style of painting that could be seen as truly Indian.
","Fig. 18 – The cover page of Indian Charivari. The Indian Charivari was one of the many journals of caricature and satire published in the late nineteenth century. Notice that the imperial British figure is positioned right at the centre. He is authoritative and imperial; telling the natives what is to be done. The natives sit on either side of him, servile and submissive. The Indians are being shown a copy of Punch, the British journal of cartoons and satire. You can almost hear the British master say – ‘This is the model, produce Indian versions of it.’
"
Q. 7. Which industry in London did not employ large number of people in the 19th century ?,Ans. Railway manufacturing.,"Fig. 6 – A fitting shop at a railway works in England, The Illustrated London News, 1849. In the fitting shop new locomotive engines were completed and old ones repaired.
","Fig. 13 – Advertisements at a railway station in England, a lithograph by Alfred Concanen, 1874. Printed advertisements and notices were plastered on street walls, railway platforms and public buildings.
","Fig. 18 – Partners in enterprise – J.N. Tata, R.D. Tata, Sir R.J. Tata, and Sir D.J. Tata. In 1912, J.N. Tata set up the first iron and steel works in India at Jamshedpur. Iron and steel industries in India started much later than textiles. In colonial India industrial machinery, railways and locomotives were mostly imported. So capital goods industries could not really develop in any significant way till Independence.
","the woollen industry, women who survived on hand spinning began attacking the new machines. This conflict over the introduction of the jenny continued for a long time. After the 1840s, building activity intensified in the cities, opening up greater opportunities of employment. Roads were widened, new railway stations came up, railway lines were extended, tunnels dug, drainage and sewers laid, rivers embanked. The number of workers employed in the transport industry doubled in the 1840s, and doubled again in the subsequent 30 years.
","Fig. 9 – Workers in an iron works, north-east England, painting by William Bell Scott, 1861. Many artists from the late nineteenth century began idealising workers: they were shown suffering hardship and pain for the cause of the nation.
"
Q. 8. Which European power was the first to establish its control over Bombay ?,Ans. Portuguese.,"PORTUGUESE EAST AFRICA
","a
","ATLANTIC OCEAN ANGOLA
","Malacca
","New words Proto – Indicating the first or early form of something
"
Q. 9. Which city of India is called ‘Mayapuri’ or the ‘city of dreams’ ?,Ans. Bombay.,"Bombay
","Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","Madras
","Fig. 18 – Partners in enterprise – J.N. Tata, R.D. Tata, Sir R.J. Tata, and Sir D.J. Tata. In 1912, J.N. Tata set up the first iron and steel works in India at Jamshedpur. Iron and steel industries in India started much later than textiles. In colonial India industrial machinery, railways and locomotives were mostly imported. So capital goods industries could not really develop in any significant way till Independence.
","Fig. 15 – Bombay harbour, a late-eighteenth-century drawing. Bombay and Calcutta grew as trading ports from the 1780s. This marked the decline of the old trading order and the growth of the colonial economy.
"
Q. 10. Name one factor which changed the form of urbanisation in the modern world.,Ans. Industrialization.,"3 Industrialisation in the Colonies
","3. Explain what is meant by proto-industrialisation.
","The Age of Industrialisation
","The Age of Industrialisation
","The Age of Industrialisation
"
Q. 11. Who wrote several volumes on the London labour in the mid of the 19th century ?,Ans. Henry Mayhew.,"Box 2 Sir Henry Morton Stanley in Central Africa
","Fig. 9 – Workers in an iron works, north-east England, painting by William Bell Scott, 1861. Many artists from the late nineteenth century began idealising workers: they were shown suffering hardship and pain for the cause of the nation.
","Thomas Wood, a Yorkshire mechanic, narrated how he would rent old newspapers and read them by firelight in the evenings as he could not afford candles. Autobiographies of poor people narrated their struggles to read against grim obstacles: the twentieth-century Russian revolutionary author Maxim Gorky’s My Childhood and My University provide glimpses of such struggles.
","Fig. 7 — Giuseppe Mazzini and the founding of Young Europe in Berne 1833. Print by Giacomo Mantegazza.
","Fig. 18 – Partners in enterprise – J.N. Tata, R.D. Tata, Sir R.J. Tata, and Sir D.J. Tata. In 1912, J.N. Tata set up the first iron and steel works in India at Jamshedpur. Iron and steel industries in India started much later than textiles. In colonial India industrial machinery, railways and locomotives were mostly imported. So capital goods industries could not really develop in any significant way till Independence.
"
Q. 12. Name the author of the novel ‘DEBGANER MARTYE AAGAMAN’ .,Ans. Durgacharan Ray.,"Fig. 17 – Raja Ritudhwaj rescuing Princess Madalsa from the captivity of demons, print by Ravi Varma. Raja Ravi Varma produced innumerable mythological paintings that were printed at the Ravi Varma Press.
","Fig. 26(a) – Manchester labels, early twentieth century. Images of numerous Indian gods and goddesses – Kartika, Lakshmi, Saraswati – are shown in imported cloth labels approving the quality of the product being marketed. Fig. 26(b) – Maharaja Ranjit Singh on a Manchester label. Historic figures are used to create respect for the product. Fig. 26(a)
","Fig. 12 – Bharat Mata, Abanindranath Tagore, 1905. Notice that the mother figure here is shown as dispensing learning, food and clothing. The mala in one hand emphasises her ascetic quality. Abanindranath Tagore, like Ravi Varma before him, tried to develop a style of painting that could be seen as truly Indian.
","d) The East India Company appointed gomasthas to supervise weavers in India.
","Nationalism in India Nationalism in India
"
Q. 13. Name any one Presidential city during colonial India.,Ans. Bombay.,"Bombay
","Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","Madras
","Fig. 18 – Partners in enterprise – J.N. Tata, R.D. Tata, Sir R.J. Tata, and Sir D.J. Tata. In 1912, J.N. Tata set up the first iron and steel works in India at Jamshedpur. Iron and steel industries in India started much later than textiles. In colonial India industrial machinery, railways and locomotives were mostly imported. So capital goods industries could not really develop in any significant way till Independence.
","Fig. 15 – Bombay harbour, a late-eighteenth-century drawing. Bombay and Calcutta grew as trading ports from the 1780s. This marked the decline of the old trading order and the growth of the colonial economy.
"
Q. 1. In which year did the Great Depression start ?,Ans. 1929.,"1858
","Native Opinion, 3 April 1870.
","Fig. 2 – Two Magicians, published in Inland Printers, 26 January 1901.
","1858 SAN MARINO
","Fig. 8 – Police cracked down on satyagrahis, 1930.
"
Q. 2. Name the first European country that conquered America ?,Ans. Spain.,"SPAIN
","SPANISH MOROCCO TUNISIA
","MOROCCO SPANISH SAHARA
","IRELAND
","a
"
Q. 3. From which country did Britain borrow large sums of money during the First World War ?,Ans. United States of America.,"a
","A SS NA
","of
","N a t i o n a l i s m in
","N a t i o n a l i s m in
"
Q. 4. Who is referred to as the ‘Bretton Woods twins’ ?,Ans. The IMF and the World Bank.,"The Bretton Woods conference established the International Monetary Fund (IMF) to deal with external surpluses and deficits of its member nations. The International Bank for Reconstruction and Development (popularly known as the World Bank) was set up to finance postwar reconstruction. The IMF and the World Bank are referred to as the Bretton Woods institutions or sometimes the Bretton Woods twins. The post-war international economic system is also often described as the Bretton Woods system. The IMF and the World Bank commenced financial operations in 1947. Decision-making in these institutions is controlled by the Western industrial powers. The US has an effective right of veto over key IMF and World Bank decisions.
","The international monetary system is the system linking national currencies and monetary system. The Bretton Woods system was based on fixed exchange rates. In this system, national currencies, for example the Indian rupee, were pegged to the dollar at a fixed exchange rate. The dollar itself was anchored to gold at a fixed price of $35 per ounce of gold.
","4.3 Decolonisation and Independence When the Second World War ended, large parts of the world were still under European colonial rule. Over the next two decades most colonies in Asia and Africa emerged as free, independent nations. They were, however, overburdened by poverty and a lack of resources, and their economies and societies were handicapped by long periods of colonial rule. The IMF and the World Bank were designed to meet the financial needs of the industrial countries. They were not equipped to cope with the challenge of poverty and lack of development in the former colonies. But as Europe and Japan rapidly rebuilt their economies, they grew less dependent on the IMF and the World Bank. Thus from the late 1950s the Bretton Woods institutions began to shift their attention more towards developing countries.
","Global
","The Making of a Global World
"
Q. 5. What do you mean by G-77 ?,Ans. Group of developing countries.,"a
","The Bretton Woods conference established the International Monetary Fund (IMF) to deal with external surpluses and deficits of its member nations. The International Bank for Reconstruction and Development (popularly known as the World Bank) was set up to finance postwar reconstruction. The IMF and the World Bank are referred to as the Bretton Woods institutions or sometimes the Bretton Woods twins. The post-war international economic system is also often described as the Bretton Woods system. The IMF and the World Bank commenced financial operations in 1947. Decision-making in these institutions is controlled by the Western industrial powers. The US has an effective right of veto over key IMF and World Bank decisions.
","Global
","of
","Europe
"
Q. 1. Where did the big European powers meet in 1885 for dividing Africa ?,Ans. Berlin.,"EAST PRUSSIA MECKLENBURGSCHWERIN
","HANOVER BRANDENBURG BRUNSWICK
","GERMAN SOUTH WEST AFRICA
","IA POSEN
","Fig. 17 — Germania, Philip Veit, 1848. The artist prepared this painting of Germania on a cotton banner, as it was meant to hang from the ceiling of the Church of St Paul where the Frankfurt parliament was convened in March 1848.
"
Q. 2. Till the discovery of which place potatoes were not known to people in Asia and Europe ?,Ans. America.,"a
","of
","IA POSEN
","The
","A SS NA
"
Q. 3. Which groups of countries was known as the ‘Allies’ in Europe ?,"Ans. Britain, France and Russia later joined by the U.S. 1","In 1815, representatives of the European powers – Britain, Russia, Prussia and Austria – who had collectively defeated Napoleon, met at Vienna to draw up a settlement for Europe. The Congress was hosted by the Austrian Chancellor Duke Metternich. The delegates 10 2020-21
","3.1 Wartime Transformations The First World War, as you know, was fought between two power blocs. On the one side were the Allies – Britain, France and Russia (later joined by the US); and on the opposite side were the Central Powers – Germany, Austria-Hungary and Ottoman Turkey. When the war began in August 1914, many governments thought it would be over by Christmas. It lasted more than four years.
","Britain and France made vast additions to their overseas territories in the late nineteenth century. Belgium and Germany became new colonial powers. The US also became a colonial power in the late 1890s by taking over some colonies earlier held by Spain. Let us look at one example of the destructive impact of colonialism on the economy and livelihoods of colonised people.
","RUSSIAN EMPIRE
","RUSSIAN EMPIRE
"
Q. 4. Who was a well-known pioneer of mass production ?,Ans. Henry Ford.,"trouble in the years after the war, the US economy resumed its strong growth in the early 1920s. One important feature of the US economy of the 1920s was mass production. The move towards mass production had begun in the late nineteenth century, but in the 1920s it became a characteristic feature of industrial production in the US. A well-known pioneer of mass production was the car manufacturer Henry Ford. He adapted the assembly line of a Chicago slaughterhouse (in which slaughtered animals were picked apart by butchers as they came down a conveyor belt) to his new car plant in Detroit. He realised that the ‘assembly line’ method would allow a faster and cheaper way of producing vehicles. The assembly line forced workers to Fig. 21 – T-Model automobiles lined up outside the repeat a single task mechanically and continuously – such as factory. fitting a particular part to the car – at a pace dictated by the conveyor belt. This was a way of increasing the output per worker by speeding up the pace of work. Standing in front of a conveyor belt no worker could afford to delay the motions, take a break, or even have a friendly word with a workmate. As a result, Henry Ford’s cars came off the assembly line at three-minute intervals, a speed much faster than that achieved by previous methods. The TModel Ford was the world’s first mass-produced car.
","At first workers at the Ford factory were unable to cope with the stress of working on assembly lines in which they could not control the pace of work. So they quit in large numbers. In desperation Ford doubled the daily wage to $5 in January 1914. At the same time he banned trade unions from operating in his plants. Henry Ford recovered the high wage by repeatedly speeding up the production line and forcing workers to work ever harder. So much so, he would soon describe his decision to double the daily wage as the ‘best cost-cutting decision’ he had ever made. Fordist industrial practices soon spread in the US. They were also widely copied in Europe in the 1920s. Mass production lowered costs and prices of engineered goods. Thanks to higher wages, more workers could now afford to purchase durable consumer goods such as cars. Car production in the US rose from 2 million in 1919 to more than 5 million in 1929. Similarly, there was a spurt in the purchase of refrigerators, washing machines, radios, gramophone players, all through a system of ‘hire purchase’ (i.e., on 70 2020-21
","Discuss Briefly summarise the two lessons learnt by economists and politicians from the inter-war
","Fig. 13 – Advertisements at a railway station in England, a lithograph by Alfred Concanen, 1874. Printed advertisements and notices were plastered on street walls, railway platforms and public buildings.
","Thomas Wood, a Yorkshire mechanic, narrated how he would rent old newspapers and read them by firelight in the evenings as he could not afford candles. Autobiographies of poor people narrated their struggles to read against grim obstacles: the twentieth-century Russian revolutionary author Maxim Gorky’s My Childhood and My University provide glimpses of such struggles.
"
Q. 5. Why did the wheat price in India fall down by 50 percent between 1928 and 1934 ?,Ans. Due to Great depression.,"3.4 The Great Depression
","The Great Depression began around 1929 and lasted till the mid1930s. During this period most parts of the world experienced catastrophic declines in production, employment, incomes and trade. The exact timing and impact of the depression varied across countries. But in general, agricultural regions and communities were the worst affected. This was because the fall in agricultural prices was greater and more prolonged than that in the prices of industrial goods.
","The US was also the industrial country most severely affected by the depression. With the fall in prices and the prospect of a depression, US banks had also slashed domestic lending and called back loans. Farms could not sell their harvests, households were ruined, and businesses collapsed. Faced with falling incomes, many households in the US could not repay what they had borrowed, and were forced to give up their homes, cars and other consumer durables. The consumerist prosperity of the 1920s now disappeared in a puff of dust. As unemployment soared, people trudged long distances looking for any work they could find. Ultimately, the US banking system itself collapsed. Unable to recover investments, collect loans and repay depositors, thousands of banks went bankrupt and were forced to close. The numbers are phenomenal: by 1933 over 4,000 banks had closed and between 1929 and 1932 about 110, 000 companies had collapsed. By 1935, a modest economic recovery was under way in most industrial countries. But the Great Depression’s wider effects on society, politics and international relations, and on peoples’ minds, proved more enduring.
","3.5 India and the Great Depression If we look at the impact of the depression on India we realise how integrated the global economy had become by the early twentieth century. The tremors of a crisis in one part of the world were quickly relayed to other parts, affecting lives, economies and societies worldwide. In the nineteenth century, as you have seen, colonial India had become an exporter of agricultural goods and importer of manufactures. The depression immediately affected Indian trade. India’s exports 72 2020-21
","The depression was caused by a combination of several factors. We have already seen how fragile the post-war world economy was. First: agricultural overproduction remained a problem. This was made worse by falling agricultural prices. As prices slumped and agricultural incomes declined, farmers tried to expand production and bring a larger volume of produce to the market to maintain their overall income. This worsened the glut in the market, pushing down prices even further. Farm produce rotted for a lack of buyers. Second: in the mid-1920s, many countries financed their investments through loans from the US. While it was often extremely easy to raise loans in the US when the going was good, US overseas lenders panicked at the first sign of trouble. In the first half of 1928, US
"
